model,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean,cv_roc_auc_std,best_params
logistic_regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9653679653679654,0.9028321115277637,0.015579024129421236,"{'model__C': 1.0, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}"
random_forest,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9426406926406927,0.8988519531997794,0.031179348099015076,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
gradient_boosting,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9512987012987013,0.8754006058353884,0.030111702999912497,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100}"
